,,Duplicate,Permno,Permco,,
SUNS,0,,,,,
SWSH,0,,,,,
TRNX,0,,,,,
USCR,0,,,,,
APO,1,1,,,,
FF,1,1,,,,
ARGT,0,,,,,
HCA,0,,,,,
HII,0,,,,,
CROP,0,,,,,
HDV,0,,,,,
MCHI,0,,,,,
MX,0,,,,,
BKLN,0,,,,,
SJB,0,,,,,
QIHU,0,,,,,
EOX,0,,,,,
CSOD,0,,,,,
SREV,0,,,,,
AL,0,,,,,
UAN,0,,,,,
ELLI,0,,,,,
FEP,0,,,,,
KSU,0,,,,,
FCA,0,,,,,
FEM,0,,,,,
GNC,0,,,,,
MDGN,0,,,,,
GNMX,0,,,,,
APTS,0,,,,,
HYMB,0,,,,,
SDT,0,,,,,
SQNS,0,,,,,
STAG,0,,,,,
TMS,0,,,,,
TLLP,0,,,,,
ANDX,0,,,,,
ARCO,0,,,,,
TEU,0,,,,,
GMLP,0,,,,,
GSVC,0,,,,,
MKTG,0,,,,,
PFLT,0,,,,,
SGNT,0,,,,,
STBZ,0,,,,,
SVVC,0,,,,,
OCRX,1,1,,,,
VNET,0,,,,,
ZIP,0,,,,,
BRP,0,,,,,
ACTV,0,,,,,
ZX,0,,,,,
RUSS,0,,,,,
RUSL,0,,,,,
LNKD,0,,,,,
LPR,0,,,,,
NGL,0,,,,,
NQ,0,,,,,
NMFC,0,,,,,
FENG,0,,,,,
SPLV,0,,,,,
SPHB,0,,,,,
QRM,0,,,,,
RLJ,0,,,,,
ECOL,0,,,,,
RENN,0,,,,,
RVM,0,,,,,
LG,0,,,,,
THR,0,,,,,
UAM,0,,,,,
VOC,0,,,,,
FSL,1,1,,,,
KOS,0,,,,,
AMPE,0,,,,,
DATE,0,,,,,
ENT,0,,,,,
RPXC,0,,,,,
SAVE,0,,,,,
SZYM,0,,,,,
TVIA,0,,,,,
WIFI,0,,,,,
YNDX,0,,,,,
MITT,0,,,,,
RATE,0,,,,,
LODE,0,,,,,
DBEF,1,1,,,,
DBJP,1,1,,,,
CURE,0,,,,,
FIO,0,,,,,
SDIV,1,1,,,,
FLOT,0,,,,,
GSJK,0,,,,,
CCLP,0,,,,,
MPC,0,,,,,
P,0,,,,,
HYS,0,,,,,
HCHC,0,,,,,
TAOM,0,,,,,
VHS,0,,,,,
AMCX,0,,,,,
AWAY,1,1,,,,
FBNK,0,,,,,
FDUS,1,1,,,,
GRFS,1,1,,,,
KIOR,0,,,,,
WILN,0,,,,,
AMID,0,,,,,
AMTG,1,1,,,,
CJES,0,,,,,
OILT,0,,,,,
NKY,0,,,,,
SXC,0,,,,,
SYRG,0,,,,,
SRCI,0,,,,,
WAIR,0,,,,,
CHEF,0,,,,,
DNKN,0,,,,,
FRAN,0,,,,,
HZNP,0,,,,,
SKUL,0,,,,,
SKYY,0,,,,,
TNGO,0,,,,,
ZG,0,,,,,
PPP,0,,,,,
PER,0,,,,,
CARB,0,,,,,
CSRE,0,,,,,
MTGE,0,,,,,
TSU,0,,,,,
GUNR,0,,,,,
TDTT,0,,,,,
FBHS,0,,,,,
FSM,0,,,,,
FNV,0,,,,,
XAR,1,1,,,,
WEAT,0,,,,,
SOYB,0,,,,,
ARCP,0,,,,,
VER,0,,,,,
FMNB,0,,,,,
LCNB,0,,,,,
STRZA,1,1,,,,
ORIG,0,,,,,
STB,0,,,,,
XLS,1,1,,,,
GNE,0,,,,,
LEMB,0,,,,,
ACWV,0,,,,,
EEMV,0,,,,,
EFAV,0,,,,,
USMV,0,,,,,
SVXY,0,,,,,
UVXY,0,,,,,
KOLD,0,,,,,
BOIL,0,,,,,
SCHD,0,,,,,
XYL,0,,,,,
LMOS,0,,,,,
UBNT,0,,,,,
ZLTQ,0,,,,,
CHKR,0,,,,,
NDRO,0,,,,,
IMPV,0,,,,,
INVN,0,,,,,
IPFF,1,1,,,,
LRE,0,,,,,
MN,1,1,,,,
VAC,0,,,,,
KBWB,0,,,,,
RNF,1,1,,,,
APTV,0,,,,,
PACD,0,,,,,
ACHC,0,,,,,
CLVS,0,,,,,
GRPN,0,,,,,
MFRM,0,,,,,
NLNK,0,,,,,
LLEX,0,,,,,
SOCL,0,,,,,
BCEI,0,,,,,
GREK,1,1,,,,
NRGM,0,,,,,
LPI,0,,,,,
RKH,0,,,,,
BBH,0,,,,,
OIH,0,,,,,
PPH,0,,,,,
RTH,0,,,,,
SMH,0,,,,,
RRMS,0,,,,,
RSE,0,,,,,
